ecoATM Task Tracker,,,,,,,,,,,,
,,,1-Blocker (Blocking progress on current project phase within next week),,,,,,,,,
,,,2-High (Critical to current project phase and our path to completion),,,,,,,,,
,,,3-Medium(Impacting completion of current project phase but able to work around or deal),,,,,,,,,
,,,4-Low (No impact to path to compleltion of current project phase),,,,,,,,,
,,,5- NTH (Nice to Have),,,,,,,,,
,,,,,,,,,,,,
Project Phase,TITLE,DESCRIPTION,TYPE,SEVERITY,UAT Critical?,Go Live Critical?,STATUS,TEAM ,OWNER,START DATE,DUE DATE,COMMENTS
Orientation,Setup Deposco Distro List,Deposco sets up email group in following format:  <tenant code> + @deposco.com,Task,,FALSE,FALSE,Completed,DEP,Claire,,,
Orientation,Setup Client Mavenlink Account,Setup SX with tenant code and General / Project Management tasks,Task,,FALSE,FALSE,Completed,DEP,Claire,,,
Orientation,Setup Tenant Support Slack Group,"Setup Slack group with tenant as <tenant code> + ""- Support"" (e.g. DEP - Support)",Task,,FALSE,FALSE,Completed,DEP,Claire,,,
Orientation,Setup Confluence and JIRA Project,Setup client confluence and JIRA Project,Task,,FALSE,FALSE,Completed,DEP,Claire,,,
Orientation,Client UA Env.,Deposco to setup client UA environment with client code chosen by client during signning. Socket team adds socket connections and total # of connections to UA env.,Task,,FALSE,FALSE,Completed,DEP,Steel,,,
Orientation,Company & Facility,"Deposco to coordinate with client to update:
- Company.code value (likely same as tenant code)
- Company address info
- Facility.number (needed for print server setup since it uses the facility.number)
- Facility address info (needed for shipping since ship from info is pulled from user.facitliy for parcel carriers)",Task,,FALSE,FALSE,Completed,DEP,Steel,,,
Orientation,Setup Users,Deposco guides client super user through user setup with Data Exchange import or copying admin user from user UI. Client can choose to setup only super users or all users during this phase. Password reset emails are sent to client users to complete final step for Deposco access,Task,,FALSE,FALSE,Completed,DEP,Steel,,,
Orientation,Begin development for new APIs,Stock Update API still pending final design decisions ,Task,,FALSE,FALSE,Completed,DEP,Brian,,,
Orientation,Setup Print Client (Windows),"Deposco Devops team sets up client print sever file with company and warehouse code decided during signing. Windows print server file and instructions provided to client to complete setup on their server/network

",Task,,FALSE,FALSE,Completed,DEP,Daniel,,,ECOATM001-2
Orientation,Setup Print Client (Windows),Client completes setup of windows print server on their network. 1 label printer and 1 document printer set and validated in Deposco through PrinterDetail config and validation. Printer assignments are setup at later time with implementation team ,Task,2.High,FALSE,FALSE,Completed,ecoATM,Sudhanshu,1/31/2025,2/28/2025,
Orientation,Setup Parcel Carrier Accounts,Client utilizes Deposco help site guides to setup FedEx connection,Task,,FALSE,FALSE,Completed,ecoATM,Halea,1/31/2025,2/14/2025,
Orientation,Setup Parcel Carrier Accounts,Client utilizes Deposco help site guides to setup DHL connection,Task,,FALSE,FALSE,Closed,ecoATM,Halea,1/31/2025,2/28/2025,
Configuration,Inventory API Testing, “customAttribute1” & “customAttribute2” missing from the sample payload on the Developer Portal for this endpoint. This is currently blocking accounting testing.,Issue,1.Blocker,FALSE,FALSE,Completed,DEP,Brian,,6/25/2025,5/27/25 [DEP] - Our team has opened a ticket following up on this item internally.
Orientation,General Application and UI Overview,"Topics Include:
- Help Site
- UI Navigation (Menus/Views/Layouts/Searching)
- Settings and User Management
- Data Exchange Overview
- Handheld Menu Access",Task,,FALSE,FALSE,Completed,DEP/ecoATM,Full team,2/11/2025,2/26/2025,
Orientation,Begin Master Data Gathering,"Sample Master Data templates for items, packs, locations, zones, storages, etc. to be provided by Deposco to be used by client
- Item data provided while onsite",Task,,FALSE,FALSE,Completed,DEP,Johnny,2/11/2025,2/28/2025,
Orientation,Create Specialized Process Flows,"Client creates process flows for unique processes expected to address systemically within Deposco. Examples are work order handling, cartonization, inbound/outbound audit, quality assurance, and/or new processes outlined as ""add-ons"" within initial project SOW",Task,,FALSE,FALSE,Completed,ecoATM,Bradley,,,
Orientation,Create Inbound Process Flows,"Client creates process flows for inbound handling of product (unloading, receiving, putaway)",Task,,FALSE,FALSE,Completed,ecoATM,Bradley,,,
Orientation,Create Order Management Process Flows,"Client creates process flows for order management inclusive of order pre-processing, order validations, order orchestration, and DOM logic",Task,,FALSE,FALSE,Closed,ecoATM,Bradley,,,
Orientation,Create Outbound Process Flows,"Client creates process flows for outbound handling of product (replenishments, picking, packing, staging, loading)",Task,,FALSE,FALSE,Completed,ecoATM,Bradley,,,
Orientation,Schedule recurring project calls ,"Weekly status call 
Bi-weekly executive steering call",Task,,FALSE,FALSE,Completed,DEP,Claire,,,
Design,Deliver Onsite Design Agenda,Deliver onsite design agenda,Task,,FALSE,FALSE,Completed,DEP,Daniel,,,
Design,Master Design Document Delivery,Deliver master design document for client team to review ,Task,,FALSE,FALSE,Completed,DEP,Daniel,,,
Design,Review and Sign Master Design Document,Client to review document and make notes in google doc to be reviewed together with Deposco team and eventually signed via Docusign. ,Task,,FALSE,FALSE,Completed,DEP/ecoATM,Full Team,,,5/13 [DEP] Jackie to send integration MDD for signature
Configuration,Deliver Inbound Configuration,Via demo sessions,Task,,FALSE,FALSE,Completed,DEP,Johnny,,,
Configuration,Deliver Inventory Management Configuration,Via demo sessions,Task,,FALSE,FALSE,Completed,DEP,Johnny,,,
Configuration,Deliver Outbound Configuration,Via demo sessions,Task,,FALSE,FALSE,Completed,DEP,Johnny,,,
Configuration,Deliver Integration Configuration Training,Via demo sessions,Task,,FALSE,FALSE,Completed,DEP,Johnny,,,
Configuration,Deliver Reports and Metrics ,Based on requirements from design ,Task,3.Medium,FALSE,FALSE,Completed,DEP,Johnny,,5/27/2025,
Validation,Fill out Go/No-Go Decision Document,Fill out throughout UAT and use to make final decision on go live readiness,Task,2.High,FALSE,FALSE,In Progress,DEP/ecoATM,Full team,,7/2/2025,
Validation,Schedule final Go/No-Go Decision Meeting,Schedule final call to review go/no-go document and make final decision for go live date,Task,2.High,FALSE,FALSE,Open,DEP,Jackie,,7/2/2025,Track during onsite UAT to ensure no missed on needed setup
Orientation,FedEx Setup,Hazardous items giving error during setup,Task,2.High,FALSE,FALSE,Completed,ecoATM,Halea,,5/30/2025,"6/24 [ecoATM] Joe followed up, but no response on the signing yet. Updated devices to not be hazardous to complete testing.
6/17 [ecoATM] - Hazard form being signed internally for FedEx to complete setup.
6/3/25 [ecoATM] Escalated with FedEx
5/20/25 [DEP] - Halea to reach out to FedEx rep about error message"
Validation,Unit Test Cases - Inbound,Complete test cases for Inbound processes on Test Cases - Unit tab ,Task,3.Medium,FALSE,FALSE,Completed,ecoATM,Andrew,,5/9/2025,
Validation,Unit Test Cases - Inventory Management ,Complete test cases for Inventory Management processes on Test Cases - Unit tab ,Task,3.Medium,FALSE,FALSE,Completed,ecoATM,Inventory Lead,,5/16/2025,5/2725 [DEP] Workflow for stock unit verification requires an additional scan.
Validation,Deliver Onsite UAT Agenda,Deliver onsite UAT agenda,Task,3.Medium,FALSE,FALSE,In Progress,DEP,Implementation Lead,,7/31/2025,Daniel created draft
Validation,Train End Users,During UAT and any additional training as needed,Task,3.Medium,FALSE,FALSE,Open,ecoATM,Warehouse Leads,,7/25/2025,
Validation,Unit Test Cases - Outbound,Complete test cases for Outbound processes on Test Cases - Unit tab ,Task,3.Medium,FALSE,FALSE,In Progress,ecoATM,Outbound Lead,,5/27/2025,
Validation,Unit Test Cases - Integrations,Complet test cases for Integrations on Test Cases - Unit tab ,Task,3.Medium,FALSE,FALSE,In Progress,ecoATM,Technical Lead,,6/10/2025,7/29/25 - POI issue still open
Validation,End to End Test Case Execution,Complete end to end test cases ,Task,3.Medium,FALSE,FALSE,In Progress,ecoATM,Warehouse Leads + Technical Lead,,6/13/2025,
Deployment,Execute Cutover Plan Steps,,Task,3.Medium,FALSE,FALSE,Open,DEP/ecoATM,Full team,,8/18/2025,Reviewed in weekly status on 7/21
Deployment,Deliver Cutover Plan ,With columns for asignee and execution dates ,Task,3.Medium,FALSE,FALSE,In Progress,DEP,Implementation Lead,,7/31/2025,
Deployment,Schedule end of day check in calls for go live week,Schedule time to meet with full team end of each day of go live week to review progress,Task,3.Medium,FALSE,FALSE,Open,DEP,Jackie,,8/4/2025,
Configuration,FedEx and Sortation Enhancement,FedEx shipping and sortation enhancement,Task,3.Medium,FALSE,FALSE,Completed,ecoATM,,,6/20/2025,"Enhancements planned for delivery on Thursday, 6/19."
Orientation,Setup Parcel Carrier Accounts,ecoATM to utilize Deposco help site guides to setup Stamps connection,Task,4.Low,FALSE,FALSE,Hold,ecoATM,Halea,1/31/2025,2/28/2025,
Validation,API 2.0 Ticket - Payment Status,[IMS-400] Deposco API: Unable to Update Payment Status to Approved – Deposco API Rejects Update for Orders in 'Staged' Status - JIRA,Issue,1.Blocker,FALSE,FALSE,Completed,DEP,Brian,,,Work-around in API 1.0
Validation,API 2.0 Ticket - Serial Number instead of the Acquisition Cost,[IMS-413] DEPOSCO: InventoryAdjustment API 2.0 returns Serial Number instead of the Acquisition Cost - JIRA,Issue,1.Blocker,FALSE,FALSE,Completed,DEP,Daniel,,,
